X,Y,SEGMENT
26426.3301,187062.2031,1
26427.4297,187036.2969,1
26427.5195,187006.4063,1
26408.4004,186958.0938,1
26381.6504,186914.9063,1
26516.0195,186781.7031,1
26548.1504,186730.5938,1
26503.7891,186641.5938,1
26655.7207,186413.0938,1
26541.4492,186290.4063,1
26556.2207,186272.5938,1
26579.1191,186251.9063,1
26596.4395,186229.0938,1
26623.9395,186199.2969,1
26656.5293,186161.2969,1
26691.6602,186124.4063,1
26728.3008,186088.4063,1
26756.7793,186068.2031,1
26770.5195,186055.0938,1
26784.2793,186034.7969,1
26808.2305,186002.9063,1
26833.6797,185979.0938,1
26870.8301,185943.7031,1
26903.4102,185909.2969,1
26934.5098,185863.2031,1
26944.7402,185836.2969,1
26958.0391,185800.2969,1
26978.4609,185761.2969,1
27009.5391,185723.4063,1
27040.6309,185678.2969,1
27082.9004,185627.0938,1
27115.9902,185592.2031,1
27126.6992,185574,1
27123.2305,185551.0938,1
27114.1895,185521.0938,1
27109.7109,185495.7031,1
27119.4492,185462.7969,1
27145.4004,185438.5,1
27164.7402,185420.7969,1
27178.4902,185403.5938,1
27195.3301,185373.2031,1
27224.9199,185323.5,1
27244.3105,185290.0938,1
27244.3496,185275.7969,1
27230.7402,185248.9063,1
27222.1992,185222.4063,1
27222.8301,185183.9063,1
27232.1504,185126,1
27240.9805,185063.5938,1
27266,185011.4063,1
27279.8301,184971.2969,1
27284.5391,184928.7031,1
27288.7109,184892.7031,1
27314.7598,184837.4063,1
27321.4492,184809,1
27337.8105,184771,1
27361.7695,184735.5,1
27397.9102,184697,1
27425.9297,184662.0938,1
27428.0508,184634.7031,1
27432.2305,184596.0938,1
27440.4609,184562.5938,1
27462.9102,184523.0938,1
27492.4609,184484.0938,1
27522.5098,184450.7031,1
27548.4707,184422.7969,1
27568.3398,184399.5,1
27587.2305,184362,1
27600.0801,184311.7969,1
27591.5898,184269.0938,1
27578.5801,184211.7031,1
27583.6992,184199,1
27607.6992,184152.9063,1
27623.0996,184097.5938,1
27636.9004,184064.5938,1
27659.9199,184007.2969,1
27678.9492,183928.0938,1
27694.9102,183858.5938,1
27709.3398,183787.5938,1
27732.9609,183702.7969,1
27755.9004,183669.4063,1
27796.5605,183649.7031,1
27836.2109,183625.5,1
27866.8301,183571.7969,1
27892.4004,183510.9063,1
27925.6992,183412.5,1
27971.25,183292.7969,1
28011.1094,183204.5,1
28008.291,183199.5625,1
27822.4199,182874.2031,1
27695.3027,182815.9531,1
27669.4102,182804.0938,1
27663.8301,182805.5938,1
27655.6797,182815.7969,1
27645.0195,182816.7969,1
27631.3105,182818.7969,1
27618.6094,182824.7969,1
27582.0703,182825.2031,1
27547.5801,182821.5,1
27546.6094,182806.7969,1
27449.3203,182767.7969,1
27426.4609,182773.4063,1
27405.6602,182774.7969,1
27377.75,182773.7031,1
27348.3398,182767.5,1
